City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
5,Natal,BR,86.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
9,Hithadhoo,MV,81.82,overcast clouds,-0.6,73.0833,Scoop Guest House
20,Odweyne,SO,80.19,broken clouds,9.4092,45.064,Eng Hiirey House
50,Barcelos,PT,86.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
52,Gampaha,LK,80.53,moderate rain,7.0897,79.9925,Villa Taprobane
64,Kankan,GN,80.19,overcast clouds,10.3854,-9.3057,Hotel Bate
70,Surt,LY,81.84,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
85,Dubrovnik,HR,83.84,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
87,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
91,Nikolskoye,RU,82.87,clear sky,59.7035,30.7861,Tourist House - Sablino
93,West Lafayette,US,84.22,clear sky,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
94,Kavaratti,IN,80.96,overcast clouds,10.5669,72.642,Green leaf
98,Virginia Beach,US,89.02,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
101,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
102,San Patricio,US,89.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
104,Lorengau,PG,80.17,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
108,Dhidhdhoo,MV,81.61,overcast clouds,6.8833,73.1,Dhidhoo beach
116,Los Mochis,MX,87.67,clear sky,25.7667,-108.9667,Hotel Fénix Sinaloa
127,Canyon,US,85.51,scattered clouds,34.9803,-101.9188,"Holiday Inn Express & Suites Canyon, an IHG Hotel"
131,Monywa,MM,86.0,overcast clouds,22.1167,95.1333,Monywa Hotel
148,Broome,US,89.47,clear sky,42.2506,-75.833,Chenango Valley State Park
156,Nisia Floresta,BR,86.38,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
159,Ostroleka,PL,87.35,clear sky,53.0862,21.5757,Pokoje Gościnne WSAP
160,Villa Altagracia,DO,87.01,scattered clouds,18.673,-70.171,La Maison de AAVA
162,Progreso,MX,86.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
169,Ponta Do Sol,PT,82.71,clear sky,32.6667,-17.1,Hotel do Campo
172,Aksu,CN,84.7,clear sky,41.1231,80.2644,Pudong Holiday Hotel
188,Saint Anthony,US,80.82,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
193,Cayenne,GF,87.84,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
196,Amalapuram,IN,81.46,overcast clouds,16.5833,82.0167,swayamprabha service apartments
197,Thiers,FR,84.52,clear sky,45.8333,3.5,Hôtel Eliotel
198,Quzhou,CN,83.41,overcast clouds,28.9594,118.8686,Quzhou Jiujiu Business Hotel
200,Zhezkazgan,KZ,86.94,scattered clouds,47.8043,67.7144,Hotel Zumrat
203,Sinnamary,GF,82.69,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
206,Sola,VU,80.58,clear sky,-13.8833,167.55,Leumerus Bungalows
213,Daoukro,CI,80.73,overcast clouds,7.0591,-3.9631,Komenan brou roseline
214,Colon,PA,82.15,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
218,Wanning,CN,80.38,broken clouds,18.8003,110.3967,Paradise Hotel
223,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
230,Requena,ES,82.8,clear sky,39.4883,-1.1004,Hotel Avenida
237,Pochutla,MX,88.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
243,Rock Sound,BS,82.27,few clouds,24.9,-76.2,Pink Corral Bay Property
246,Medea,DZ,87.84,clear sky,36.2642,2.7539,Hôtel M'Sallah
247,Kurikka,FI,87.22,overcast clouds,62.6167,22.4167,Hotel Kurikka
248,Turbat,PK,85.42,overcast clouds,26.0023,63.044,Mubashar Quarters
249,Touros,BR,82.58,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
253,Madison,US,87.24,broken clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
255,Salinopolis,BR,86.2,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
258,Columbus,US,86.11,few clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
259,Mahibadhoo,MV,82.98,light rain,3.7833,72.9667,Omadhoo Inn
262,Kavieng,PG,80.94,light rain,-2.5744,150.7967,Nusa Island Retreat
268,Bardiyah,LY,80.29,clear sky,31.7561,25.0865,بورتو بردية
274,Jitia,RO,82.17,scattered clouds,45.5833,26.7167,Traditional Cottage
285,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
287,Praia,CV,84.74,broken clouds,14.9215,-23.5087,LT Aparthotel
292,Gonen,TR,89.02,clear sky,40.1049,27.654,Gönen Palmiye Butik Pansiyon
293,Marhaura,IN,82.33,moderate rain,25.9667,84.8667,Mishti Polutry Farm
302,Bucerias,MX,88.99,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
304,Trairi,BR,82.92,overcast clouds,-3.2778,-39.2689,janelas do mar
305,Asau,RO,83.32,clear sky,46.4333,26.4,Casa Mika Ciobanus
307,Fontanka,UA,81.88,clear sky,46.5626,30.8607,Villa Lavender Hotel
318,Paranaiba,BR,88.38,scattered clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
320,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
321,Lasa,IT,89.69,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
323,Canon City,US,85.14,clear sky,38.441,-105.2424,Travel Inn Motel
325,Saint-Francois,FR,83.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
338,Normandin,CA,80.91,overcast clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
