City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Tommot,RU,58.9564,126.2925,60.22,93,1,2.71,clear sky
1,Jamestown,US,42.097,-79.2353,79.02,77,100,14.97,overcast clouds
2,Bluff,NZ,-46.6,168.3333,40.8,77,100,6.53,overcast clouds
3,La Ronge,CA,55.1001,-105.2842,61.02,67,100,21.85,overcast clouds
4,Port-Gentil,GA,-0.7193,8.7815,80.56,74,40,14.97,scattered clouds
5,Natal,BR,-5.795,-35.2094,86.22,66,75,13.8,broken clouds
6,Kijang,KR,35.2442,129.2139,78.53,81,1,6.85,clear sky
7,Punta Arenas,CL,-53.15,-70.9167,33.91,86,20,17.27,few clouds
8,Umm Kaddadah,SD,13.6017,26.6876,76.73,60,100,8.14,overcast clouds
9,Hithadhoo,MV,-0.6,73.0833,81.82,70,100,5.21,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,40.48,94,100,2.06,overcast clouds
11,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,49,20,21.85,few clouds
12,Mae Ramat,TH,16.984,98.5166,78.8,98,100,0.87,light rain
13,Jumla,NP,29.2747,82.1838,64.65,95,100,1.3,overcast clouds
14,Margate,GB,51.3813,1.3862,72.1,76,62,5.01,broken clouds
15,Santo Estevao,BR,-12.4303,-39.2514,75.56,69,42,8.95,scattered clouds
16,Ushuaia,AR,-54.8,-68.3,29.86,93,100,19.57,heavy snow
17,Seoul,KR,37.5683,126.9778,74.77,85,75,5.75,broken clouds
18,Tiarei,PF,-17.5333,-149.3333,69.82,74,6,10.92,clear sky
19,Ancud,CL,-41.8697,-73.8203,41.23,75,100,12.68,light rain
20,Odweyne,SO,9.4092,45.064,80.19,40,80,22.19,broken clouds
21,Kremenchuk,UA,49.0973,33.4197,74.03,50,70,13.76,broken clouds
22,Namibe,AO,-15.1961,12.1522,65.03,82,100,17.27,overcast clouds
23,Mount Gambier,AU,-37.8333,140.7667,46.83,84,40,8.34,scattered clouds
24,Hermanus,ZA,-34.4187,19.2345,58.8,71,14,1.79,few clouds
25,Andover,GB,51.2083,-1.4825,76.57,61,100,2.3,overcast clouds
26,Zhanaozen,KZ,43.3,52.8,101.68,14,14,10.22,few clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,73.36,92,86,7.0,overcast clouds
28,Cape Town,ZA,-33.9258,18.4232,61.27,72,0,9.22,clear sky
29,Lavrentiya,RU,65.5833,-171.0,40.21,90,100,20.11,light rain
30,Bethel,US,41.3712,-73.414,90.05,69,0,5.75,clear sky
31,Dingle,PH,10.9995,122.6711,78.08,90,100,5.35,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,74.17,73,4,9.93,light rain
33,Kargopol,RU,61.5071,38.9456,74.08,59,27,2.46,scattered clouds
34,East London,ZA,-33.0153,27.9116,59.94,77,0,8.05,clear sky
35,Kapaa,US,22.0752,-159.319,75.18,90,100,11.5,mist
36,Port Alfred,ZA,-33.5906,26.891,60.19,77,0,1.01,clear sky
37,Yellowknife,CA,62.456,-114.3525,63.12,55,20,5.99,few clouds
38,Hasaki,JP,35.7333,140.8333,79.29,91,100,13.6,overcast clouds
39,Aksarka,RU,66.5606,67.7975,52.77,57,9,11.9,clear sky
40,Provideniya,RU,64.3833,-173.3,39.76,77,99,9.93,overcast clouds
41,Berlevag,NO,70.8578,29.0864,67.8,82,100,6.62,light rain
42,Deputatskiy,RU,69.3,139.9,37.65,89,3,4.7,clear sky
43,Dikson,RU,73.5069,80.5464,42.48,89,100,24.74,light rain
44,Puerto Asis,CO,0.5133,-76.5007,78.33,67,100,1.57,overcast clouds
45,Mabaruma,GY,8.2,-59.7833,73.4,100,75,0.0,broken clouds
46,Busselton,AU,-33.65,115.3333,56.7,75,75,10.92,broken clouds
47,Butaritari,KI,3.0707,172.7902,79.86,76,80,4.23,broken clouds
48,Kruisfontein,ZA,-34.0033,24.7314,56.88,83,0,3.0,clear sky
49,Ilulissat,GL,69.2167,-51.1,62.62,48,75,10.36,broken clouds
50,Barcelos,PT,41.5388,-8.6151,86.92,49,6,6.73,clear sky
51,Khilok,RU,51.3674,110.4676,62.01,74,99,3.38,light rain
52,Gampaha,LK,7.0897,79.9925,80.53,83,40,9.22,moderate rain
53,Babushkin,RU,51.7122,105.8647,55.08,92,100,5.93,overcast clouds
54,Grand Gaube,MU,-20.0064,57.6608,70.38,68,62,7.0,broken clouds
55,Codrington,AU,-38.2667,141.9667,46.44,85,5,10.78,clear sky
56,Bredasdorp,ZA,-34.5322,20.0403,51.1,84,13,3.62,few clouds
57,Norman Wells,CA,65.282,-126.8329,59.04,94,100,2.3,overcast clouds
58,Hobart,AU,-42.8794,147.3294,40.26,89,0,1.01,clear sky
59,Swellendam,ZA,-34.0226,20.4417,52.9,60,5,3.62,clear sky
60,Kodiak,US,57.79,-152.4072,51.31,87,100,0.0,light rain
61,Moron,AR,-34.6534,-58.6198,65.01,54,100,6.76,overcast clouds
62,Atuona,PF,-9.8,-139.0333,77.13,76,13,15.7,few clouds
63,Pakxan,LA,18.3778,103.6601,75.85,93,97,5.7,moderate rain
64,Kankan,GN,10.3854,-9.3057,80.19,74,91,7.23,overcast clouds
65,Vaini,TO,-21.2,-175.2,74.01,75,5,9.33,clear sky
66,Douentza,ML,14.9951,-2.9517,94.86,36,28,7.78,scattered clouds
67,Manavalakurichi,IN,8.1333,77.3,79.03,84,13,17.16,few clouds
68,Zheleznodorozhnyy,RU,55.7503,38.0042,70.21,69,61,13.6,light rain
69,Hay River,CA,60.8156,-115.7999,62.58,63,40,8.05,scattered clouds
70,Surt,LY,31.2089,16.5887,81.84,57,0,14.41,clear sky
71,Pangnirtung,CA,66.1451,-65.7125,44.6,100,100,9.22,light rain
72,Barrow,US,71.2906,-156.7887,42.82,81,0,21.85,clear sky
73,Cumra,TR,37.5732,32.7745,78.94,21,0,14.23,clear sky
74,New Norfolk,AU,-42.7826,147.0587,39.9,82,0,2.93,clear sky
75,Mahebourg,MU,-20.4081,57.7,70.25,83,75,14.97,light intensity shower rain
76,Geraldton,AU,-28.7667,114.6,55.81,82,55,8.05,broken clouds
77,Clyde River,CA,70.4692,-68.5914,39.43,93,100,16.11,light rain
78,Huarmey,PE,-10.0681,-78.1522,66.27,74,70,10.69,broken clouds
79,Coihueco,CL,-36.6167,-71.8333,50.74,87,100,5.75,haze
80,Cherskiy,RU,68.75,161.3,32.38,94,13,10.58,few clouds
81,Torbay,CA,47.6666,-52.7314,73.27,72,75,24.16,broken clouds
82,Sterling,US,39.0062,-77.4286,92.23,64,75,6.91,broken clouds
83,Mogadishu,SO,2.0371,45.3438,76.42,84,40,18.25,scattered clouds
84,Dalby,AU,-27.1833,151.2667,54.99,94,100,1.01,moderate rain
85,Dubrovnik,HR,42.6481,18.0922,83.84,57,0,6.91,clear sky
86,Albany,US,42.6001,-73.9662,89.53,64,8,8.46,clear sky
87,Acapulco,MX,16.8634,-99.8901,85.82,79,75,4.61,broken clouds
88,Beloha,MG,-25.1667,45.05,67.68,71,11,7.83,few clouds
89,Tynda,RU,55.1667,124.7167,60.49,95,18,1.23,few clouds
90,Castro,BR,-24.7911,-50.0119,72.77,52,5,7.9,clear sky
91,Nikolskoye,RU,59.7035,30.7861,82.87,50,0,4.09,clear sky
92,Severo-Kurilsk,RU,50.6789,156.125,52.48,97,100,22.95,moderate rain
93,West Lafayette,US,40.4259,-86.9081,84.22,58,0,5.75,clear sky
94,Kavaratti,IN,10.5669,72.642,80.96,82,91,20.8,overcast clouds
95,Bandraboua,YT,-12.7044,45.1223,74.88,69,69,9.4,broken clouds
96,Labuhan,ID,-6.8844,112.2051,76.24,81,75,8.84,broken clouds
97,Erie,US,42.7667,-78.6664,79.61,75,14,10.0,few clouds
98,Virginia Beach,US,36.8529,-75.978,89.02,75,75,20.71,broken clouds
99,Ribeira Grande,PT,38.5167,-28.7,75.6,83,20,6.91,few clouds
100,Ust-Nera,RU,64.5667,143.2,52.72,84,25,6.87,scattered clouds
101,Georgetown,MY,5.4112,100.3354,83.89,85,20,1.14,few clouds
102,San Patricio,US,28.017,-97.5169,89.69,44,2,14.7,clear sky
103,Suwa,JP,36.038,138.1131,72.19,93,98,3.6,overcast clouds
104,Lorengau,PG,-2.0226,147.2712,80.17,78,99,4.09,overcast clouds
105,Alice Springs,AU,-23.7,133.8833,44.26,47,0,5.93,clear sky
106,Namatanai,PG,-3.6667,152.4333,78.8,81,43,5.64,scattered clouds
107,Egvekinot,RU,66.3167,-179.1667,33.04,72,16,9.75,few clouds
108,Dhidhdhoo,MV,6.8833,73.1,81.61,80,100,18.92,overcast clouds
109,Novikovo,RU,51.1537,37.8879,62.06,86,77,8.12,light rain
110,Togur,RU,58.3631,82.8265,56.95,97,83,5.82,broken clouds
111,Chuy,UY,-33.6971,-53.4616,64.0,85,100,8.77,overcast clouds
112,Kalabo,ZM,-14.97,22.6814,76.33,28,40,10.27,scattered clouds
113,Tasiilaq,GL,65.6145,-37.6368,39.36,71,97,4.18,overcast clouds
114,Maniitsoq,GL,65.4167,-52.9,43.81,95,100,15.39,overcast clouds
115,Qeshm,IR,26.9581,56.2719,93.09,81,20,14.56,few clouds
116,Los Mochis,MX,25.7667,-108.9667,87.67,62,0,8.05,clear sky
117,Zhigansk,RU,66.7697,123.3711,57.54,95,100,9.64,light rain
118,Kondinskoye,RU,59.6481,67.41,59.81,60,96,5.28,overcast clouds
119,Bambous Virieux,MU,-20.3428,57.7575,70.21,83,75,14.97,light intensity shower rain
120,Souillac,MU,-20.5167,57.5167,68.38,83,75,14.97,light intensity shower rain
121,Prince George,CA,53.9166,-122.753,60.24,69,75,5.75,broken clouds
122,Tabas,IR,33.5959,56.9244,100.99,8,0,9.73,clear sky
123,North Bend,US,43.4065,-124.2243,59.92,95,100,5.75,mist
124,Khorixas,NA,-20.3667,14.9667,77.47,14,0,3.96,clear sky
125,Beringovskiy,RU,63.05,179.3167,45.45,71,99,11.07,overcast clouds
126,Port Macquarie,AU,-31.4333,152.9167,57.88,88,75,6.91,broken clouds
127,Canyon,US,34.9803,-101.9188,85.51,51,28,4.05,scattered clouds
128,Ewa Beach,US,21.3156,-158.0072,76.42,79,0,12.66,clear sky
129,Saint-Augustin,CA,51.226,-58.6502,75.45,43,36,14.52,scattered clouds
130,Naryan-Mar,RU,67.6713,53.087,52.99,55,1,14.43,clear sky
131,Monywa,MM,22.1167,95.1333,86.0,73,100,10.22,overcast clouds
132,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,100,6.91,overcast clouds
133,Panaba,MX,21.2833,-88.2667,92.77,43,5,7.63,clear sky
134,Sabya,SA,17.1495,42.6254,91.02,56,90,11.14,overcast clouds
135,Ginir,ET,7.1333,40.7,60.6,71,57,7.99,broken clouds
136,Quatre Cocos,MU,-20.2078,57.7625,70.09,71,73,19.91,light rain
137,Mazatlan,MX,23.2167,-106.4167,92.01,80,20,0.0,few clouds
138,Alghero,IT,40.5589,8.3181,91.49,55,0,12.66,clear sky
139,Ocampo,MX,21.65,-101.5,72.54,27,11,5.41,few clouds
140,Nanortalik,GL,60.1432,-45.2371,52.27,74,7,14.5,clear sky
141,Ayr,GB,55.4627,-4.6339,73.31,55,20,16.11,few clouds
142,Nambucca Heads,AU,-30.65,153.0,59.0,76,100,15.12,overcast clouds
143,Puerto Montt,CL,-41.4698,-72.9447,41.83,93,100,10.36,overcast clouds
144,Cerrito,CO,6.8432,-72.694,63.48,69,98,1.63,overcast clouds
145,Vao,NC,-22.6667,167.4833,73.04,91,6,19.42,clear sky
146,Airai,TL,-8.9266,125.4092,55.83,91,90,2.68,overcast clouds
147,Manchester,GB,53.4809,-2.2374,68.99,77,100,2.3,overcast clouds
148,Broome,US,42.2506,-75.833,89.47,57,0,16.11,clear sky
149,Chokurdakh,RU,70.6333,147.9167,36.91,56,95,8.25,overcast clouds
150,Stokmarknes,NO,68.5646,14.9108,57.18,77,75,5.75,broken clouds
151,Nhulunbuy,AU,-12.2333,136.7667,71.38,60,69,13.49,broken clouds
152,Fjerritslev,DK,57.0813,9.2664,75.88,75,79,11.9,broken clouds
153,Beyneu,KZ,45.3167,55.2,98.15,17,90,16.33,overcast clouds
154,Isangel,VU,-19.55,169.2667,76.08,87,14,10.25,few clouds
155,Bengkulu,ID,-3.8004,102.2655,76.3,91,76,4.56,broken clouds
156,Nisia Floresta,BR,-6.0911,-35.2086,86.38,71,99,12.03,overcast clouds
157,Ixtlahuacan Del Rio,MX,20.8667,-103.25,68.27,53,2,1.16,clear sky
158,Guerrero Negro,MX,27.9769,-114.0611,72.25,69,71,13.15,broken clouds
159,Ostroleka,PL,53.0862,21.5757,87.35,35,1,3.27,clear sky
160,Villa Altagracia,DO,18.673,-70.171,87.01,64,33,5.35,scattered clouds
161,Abu Samrah,SY,35.3029,37.1841,87.67,28,0,18.14,clear sky
162,Progreso,MX,21.2833,-89.6667,86.11,61,0,8.12,clear sky
163,Bam,IR,29.106,58.357,97.38,12,17,1.86,few clouds
164,Sangar,RU,63.9242,127.4739,62.19,97,66,5.68,light rain
165,Talnakh,RU,69.4865,88.3972,58.21,81,21,7.83,light rain
166,Pokhvistnevo,RU,53.6524,52.1274,67.46,67,100,6.51,overcast clouds
167,Necochea,AR,-38.5473,-58.7368,51.39,42,72,12.26,broken clouds
168,Saint George,US,37.1041,-113.5841,92.79,25,0,5.75,clear sky
169,Ponta Do Sol,PT,32.6667,-17.1,82.71,69,1,4.41,clear sky
170,Manitouwadge,CA,49.1215,-85.8403,75.15,54,80,10.0,broken clouds
171,San Cristobal,VE,7.7669,-72.225,78.98,75,97,6.82,overcast clouds
172,Aksu,CN,41.1231,80.2644,84.7,22,0,5.75,clear sky
173,Kaitangata,NZ,-46.2817,169.8464,43.05,89,100,4.59,overcast clouds
174,Flinders,AU,-34.5833,150.8552,59.38,74,100,5.99,overcast clouds
175,Saint-Pierre,RE,-21.3393,55.4781,69.48,69,20,6.91,few clouds
176,Avarua,CK,-21.2078,-159.775,71.65,73,75,9.22,broken clouds
177,Qaanaaq,GL,77.484,-69.3632,46.11,69,100,5.37,overcast clouds
178,Altay,CN,47.8667,88.1167,63.32,57,100,6.08,overcast clouds
179,Dalbandin,PK,28.8947,64.4101,99.95,14,56,4.76,broken clouds
180,Moranbah,AU,-22.0016,148.0466,56.28,93,81,6.76,broken clouds
181,Revelstoke,CA,50.9832,-118.2023,62.62,77,0,2.3,clear sky
182,Durango,MX,24.8333,-104.8333,79.45,31,3,4.18,clear sky
183,Tondano,ID,1.3038,124.9112,68.09,95,61,2.64,broken clouds
